
#date	nTrees(/ha)	totalBiomass(t/ha)	totalBasalArea(m2/ha)	totalHeight(m/ha)	totalVolume(m3/ha)	LAI	droughtIndexAnnual	droughtIndexSeasonal	winterTMIN(deg)	GDDannual(deg.day)	GDDseasonal(deg.day)	nTreesMean	nTreesSD	biomassMean	biomassSD	basalAreaMean	basalAreaSD	heightMean	heightSD	volumeMean	volumeSD	janSoilMoisture	febSoilMoisture	marSoilMoisture	aprSoilMoisture	maySoilMoisture	junSoilMoisture	julSoilMoisture	augSoilMoisture	sepSoilMoisture	octSoilMoisture	novSoilMoisture	decSoilMoisture

1972	1719.74522	256.35433	33.50299	12406.26545	282.14102	11.6598	0	0	-3.45	1772.76486	1718.4704	54	18.95106	8.04953	2.79649	1.05199	0.31768	389.55674	77.32502	8.85923	3.94393
1973	1719.74522	263.76481	34.40993	12596.86692	291.13351	11.88015	0	0	-6.31	1760.98695	1710.84609	54	18.95106	8.28221	2.75993	1.08047	0.3101	395.54162	80.17073	9.14159	3.92914
1974	1781.31635	271.05451	35.29986	12907.83785	300.08055	12.09773	0.02839	0.02839	-0.63	1893.28668	1788.42984	55.93333	20.63792	8.51111	2.72317	1.10842	0.30247	405.30611	85.71284	9.42253	3.9115
1974	1016.98514	189.65852	24.73189	7932.53693	218.58078	12.09773	0.02839	0.02839	-0.63	1893.28668	1788.42984	31.93333	12.33732	5.95528	3.29114	0.77658	0.41068	249.08166	88.34496	6.86344	4.46939
1975	1148.61996	194.72721	25.34609	8328.92141	225.02895	8.53969	0	0	-2.8	1757.91644	1628.2705	36.06667	13.16634	6.11443	3.32248	0.79587	0.41308	261.52813	90.29428	7.06591	4.5176
1976	1263.26964	201.26089	26.0836	8777.67781	232.30138	8.90866	0	0	-1.92	1641.69052	1593.68202	39.66667	12.98717	6.31959	3.33147	0.81903	0.41362	275.61908	87.61641	7.29426	4.55286
1977	1333.33333	208.11572	26.86215	9153.80376	239.98578	9.27628	0	0	-3.32	1837.63556	1749.38715	41.86667	13.61127	6.53483	3.33744	0.84347	0.41359	287.42944	86.58389	7.53555	4.58569
1978	1428.87473	214.90729	27.63987	9597.73558	247.60235	9.62474	0.06679	0.06679	-1.54	2060.45917	1972.08505	44.86667	14.22205	6.74809	3.33703	0.86789	0.41276	301.3689	84.65132	7.77471	4.61305
1979	1552.01699	222.00344	28.45899	10126.52756	255.56607	9.95756	0	0	-4.12	1874.22236	1773.18321	48.73333	15.35051	6.97091	3.33157	0.89361	0.41108	317.97297	82.064	8.02477	4.63792
1979	1203.82166	194.14487	24.9891	8311.82839	227.16246	9.95756	0	0	-4.12	1874.22236	1773.18321	37.8	11.95946	6.09615	3.80178	0.78466	0.47113	260.99141	86.18581	7.1329	5.1037
1980	1303.60934	200.12133	25.68884	8742.86642	234.06648	8.91665	0	0	-2.09	1770.55552	1660.29653	40.93333	12.36624	6.28381	3.81434	0.80663	0.47189	274.52601	81.54004	7.34969	5.15224
1981	1377.91932	206.58713	26.42693	9162.73104	241.0949	9.25383	0.01851	0.0216	-5.76	1699.13045	1577.81477	43.26667	13.5829	6.48684	3.8135	0.82981	0.47103	287.70975	78.42861	7.57038	5.19177
1982	1488.32272	213.45526	27.21617	9690.82488	248.45776	9.58352	0.00325	0.00325	-0.7	1771.74225	1660.14661	46.73333	14.92106	6.7025	3.79794	0.85459	0.46867	304.2919	74.20277	7.80157	5.22546
1983	1590.23355	220.4414	28.03481	10219.68588	255.97539	9.91574	0	0	-2.04	1756.23032	1644.40368	49.93333	16.22373	6.92186	3.77636	0.88029	0.46491	320.89814	70.41031	8.03763	5.25255
1984	1681.52866	227.53778	28.87835	10738.28257	263.61391	10.24942	0	0	-0.18	1730.81086	1615.73063	52.8	17.75709	7.14469	3.7457	0.90678	0.45979	337.18207	69.29248	8.27748	5.27209
1984	1670.91295	184.06609	24.31121	10372.658	206.92929	10.24942	0	0	-0.18	1730.81086	1615.73063	52.46667	18.07076	5.77968	2.32396	0.76337	0.32218	325.70146	79.05817	6.49758	3.22883
1985	1779.19321	190.29328	25.10417	10932.31706	213.54027	8.94887	0	0	-3.7	1723.78689	1569.33816	55.86667	18.5852	5.97521	2.29014	0.78827	0.31644	343.27476	78.40699	6.70516	3.22873
1986	1902.33546	197.87422	26.05046	11586.5735	221.50693	9.45163	0.02072	0.02072	-3.63	1926.71682	1867.9153	59.73333	18.84321	6.21325	2.27105	0.81798	0.31053	363.81841	78.34641	6.95532	3.24395
1987	2010.61571	205.56567	27.0375	12217.43136	229.81881	9.92785	0	0	-1.96	1888.24868	1733.19014	63.13333	19.34228	6.45476	2.24676	0.84898	0.3036	383.62734	79.61639	7.21631	3.25433
1988	2091.29512	212.75742	27.97824	12758.36592	237.77628	10.35593	0.08569	0.08569	-2.19	1879.78875	1785.9047	65.66667	19.03631	6.68058	2.22315	0.87852	0.29638	400.61269	79.69749	7.46618	3.25868
1989	2184.71338	220.18602	28.9647	13325.69924	246.20278	10.77147	0	0	-0.12	1657.46801	1546.86703	68.6	18.9088	6.91384	2.20119	0.90949	0.28865	418.42696	81.8305	7.73077	3.25995
1989	976.64544	192.19706	24.98137	8151.931	222.86699	10.77147	0	0	-0.12	1657.46801	1546.86703	30.66667	9.0764	6.03499	2.84082	0.78442	0.37998	255.97063	83.72413	6.99802	3.77653
