# Forceps productivity export at Fri Apr 19 14:34:56 CEST 2024

# Genotypes included in the simulation
# genoptypeName	id name sname type s hmax amax g ddmin witn witx drtol ntol brow ly la lq immt ageMaturityForReproduction
# 0-Genotype-1	0 Abies alba AAlb E5 75.0 50.0 366.0 350.0 841.0 -6.0 5.0 0.23 3 5 0.05 1.0 2 -12000.0 40.0
# 17-Genotype-1	17 Fagus sylvatica FSyl D3 76.0 50.0 400.0 260.0 841.0 -6.0 9.0 0.25 2 3 0.05 1.0 2 -12000.0 45.0

#Trees
#date	speciesId	speciesShortName	adultProdBasalArea	adultProdBiomass	adultTreeBasalArea	adultTreeBiomass	deadBasalArea	deadBiomass	saplingBasalArea	saplingBiomass	adultTreeNumber	deadNumber	saplingNumber	adultProdBasalArea_m2_ha	adultProdBiomass_t_ha	adultTreeBasalArea_m2_ha	adultTreeBiomass_t_ha	deadBasalArea_m2_ha	deadBiomass_t_ha	saplingBasalArea_m2_ha	saplingBiomass_t_ha	adultTreeNumber_ha	deadNumber_ha	saplingNumber_ha	allTreesMean_la	allTreesMean_drtol	allTreesMean_g	reproducerTreesMean_la	reproducerTreesMean_drtol	reproducerTreesMean_g	deadTreesMean_la	deadTreesMean_drtol	deadTreesMean_g

1970	0	AAlb	0.21702	1815.31382	7.41035	55056.80416	0	0	0.00203	19.09135	225	0	16	0.46077	3.85417	15.73323	116.89343	0	0	0.0043	0.04053	477.70701	0	33.97028	1	0.23	350	1	0.23	350	-1	-1	-1
1970	17	FSyl	0.21964	1854.63774	7.51185	58576.64641	0	0	0.00241	17.26764	491	0	19	0.46633	3.93766	15.94872	124.36655	0	0	0.00511	0.03666	1042.46285	0	40.3397	1	0.25	260	1	0.25	260	-1	-1	-1
1971	0	AAlb	0.20373	1704.17326	7.6161	56780.06877	0	0	0.00165	15.51172	241	0	13	0.43254	3.6182	16.17007	120.55216	0	0	0.0035	0.03293	511.67728	0	27.60085	1	0.23	350	1	0.23	350	-1	-1	-1
1971	17	FSyl	0.204	1693.6881	7.71825	60287.60214	0	0	0.00279	19.9941	510	0	22	0.43311	3.59594	16.38694	127.99916	0	0	0.00592	0.04245	1082.80255	0	46.70913	1	0.25	260	1	0.25	260	-1	-1	-1
1972	0	AAlb	0.22011	1834.35981	7.83786	58629.94029	0	0	0.00063	5.96605	254	0	5	0.46733	3.89461	16.6409	124.4797	0	0	0.00134	0.01267	539.27813	0	10.61571	1	0.23	350	1	0.23	350	-1	-1	-1
1972	17	FSyl	0.21797	1782.1203	7.939	62089.71655	0	0	0.00241	17.26764	532	0	19	0.46277	3.78369	16.85563	131.8253	0	0	0.00511	0.03666	1129.51168	0	40.3397	1	0.25	260	1	0.25	260	-1	-1	-1
1973	0	AAlb	0.21619	1805.86452	8.05469	60441.77086	0	0	0	0	259	0	0	0.459	3.83411	17.10125	128.32648	0	0	0	0	549.89384	0	0	1	0.23	350	1	0.23	350	-1	-1	-1
1973	17	FSyl	0.21098	1684.46897	8.15239	63791.45315	0	0	0	0	551	0	0	0.44794	3.57637	17.30868	135.43833	0	0	0	0	1169.85138	0	0	1	0.25	260	1	0.25	260	-1	-1	-1
1974	0	AAlb	0.21212	1776.43687	8.2668	62218.20773	0	0	0.00076	7.15925	259	0	6	0.45035	3.77163	17.5516	132.09811	0	0	0.00161	0.0152	549.89384	0	12.73885	1	0.23	350	1	0.23	350	-1	-1	-1
1974	17	FSyl	0.20337	1628.94911	8.35576	65420.40226	0	0	0.00291	20.90293	551	0	23	0.43178	3.45849	17.74046	138.89682	0	0	0.00619	0.04438	1169.85138	0	48.83227	1	0.25	260	1	0.25	260	-1	-1	-1
1975	0	AAlb	0.20798	1741.38063	8.47554	63966.74761	0	0	0.0019	17.89814	265	0	15	0.44156	3.6972	17.99477	135.8105	0	0	0.00403	0.038	562.6327	0	31.84713	1	0.23	350	1	0.23	350	-1	-1	-1
1975	17	FSyl	0.07346	585.361	3.45461	27689.15468	4.97751	38337.51151	0.00595	42.71468	214	360	47	0.15596	1.2428	7.33464	58.78801	10.56797	81.39599	0.01264	0.09069	454.35244	764.33121	99.78769	1	0.25	260	1	0.25	260	1	0.25	260
1976	0	AAlb	0.2341	1991.40453	8.71154	65976.05028	0	0	0.00215	20.28455	280	0	17	0.49703	4.22804	18.49583	140.07654	0	0	0.00457	0.04307	594.47983	0	36.09342	1	0.23	350	1	0.23	350	-1	-1	-1
1976	17	FSyl	0.10643	1032.04886	3.567	28763.91822	0	0	0.00469	33.62645	261	0	37	0.22596	2.19119	7.57324	61.06989	0	0	0.00995	0.07139	554.14013	0	78.55626	1	0.25	260	1	0.25	260	-1	-1	-1
1977	0	AAlb	0.24649	2087.02079	8.96018	68083.35562	0	0	0.0019	17.89814	297	0	15	0.52333	4.43104	19.02374	144.55065	0	0	0.00403	0.038	630.57325	0	31.84713	1	0.23	350	1	0.23	350	-1	-1	-1
1977	17	FSyl	0.11603	1107.34479	3.68771	29904.88946	0	0	0.00228	16.35881	298	0	18	0.24634	2.35105	7.82954	63.49233	0	0	0.00484	0.03473	632.69639	0	38.21656	1	0.25	260	1	0.25	260	-1	-1	-1
1978	0	AAlb	0.2415	2021.8348	9.20358	70123.08856	0	0	0.00165	15.51172	312	0	13	0.51274	4.29264	19.54051	148.88129	0	0	0.0035	0.03293	662.42038	0	27.60085	1	0.23	350	1	0.23	350	-1	-1	-1
1978	17	FSyl	0.1191	1132.40378	3.8091	31053.65205	0	0	0.00405	29.08233	316	0	32	0.25287	2.40425	8.08725	65.93132	0	0	0.00861	0.06175	670.91295	0	67.94055	1	0.25	260	1	0.25	260	-1	-1	-1
1979	0	AAlb	0.25124	2097.60335	9.45647	72236.20363	0	0	0.00177	16.70493	325	0	14	0.53342	4.45351	20.07742	153.36774	0	0	0.00377	0.03547	690.02123	0	29.72399	1	0.23	350	1	0.23	350	-1	-1	-1
1979	17	FSyl	0.12722	1187.98974	3.94037	32270.72412	0	0	0.00557	39.98821	348	0	44	0.27011	2.52227	8.36597	68.51534	0	0	0.01183	0.0849	738.8535	0	93.41826	1	0.25	260	1	0.25	260	-1	-1	-1
1980	0	AAlb	0.24766	2057.8739	9.67315	74128.83612	0.03275	181.94634	0.00165	15.51172	338	1	13	0.52582	4.36916	20.53748	157.38606	0.06953	0.3863	0.0035	0.03293	717.62208	2.12314	27.60085	1	0.23	350	1	0.23	350	1	0.23	350
1980	17	FSyl	0.07596	710.62759	2.42034	20081.89919	1.60157	12939.44073	0.00431	30.89998	229	163	34	0.16128	1.50876	5.13872	42.63673	3.40036	27.47227	0.00914	0.06561	486.19958	346.07219	72.18684	1	0.25	260	1	0.25	260	1	0.25	260
1981	0	AAlb	0.25802	2201.62622	9.93282	76345.97405	0	0	0.0019	17.89814	351	0	15	0.5478	4.67437	21.08878	162.09336	0	0	0.00403	0.038	745.22293	0	31.84713	1	0.23	350	1	0.23	350	-1	-1	-1
1981	17	FSyl	0.08519	807.68807	2.50983	20920.48724	0	0	0.00253	18.17646	263	0	20	0.18087	1.71484	5.32873	44.41717	0	0	0.00538	0.03859	558.38641	0	42.46285	1	0.25	260	1	0.25	260	-1	-1	-1
1982	0	AAlb	0.2706	2284.6512	10.20532	78648.52339	0	0	0.00177	16.70493	366	0	14	0.57453	4.85064	21.66735	166.982	0	0	0.00377	0.03547	777.07006	0	29.72399	1	0.23	350	1	0.23	350	-1	-1	-1
1982	17	FSyl	0.09454	899.001	2.60691	21837.6647	0	0	0.00481	34.53527	283	0	38	0.20072	1.90871	5.53484	46.36447	0	0	0.01022	0.07332	600.84926	0	80.67941	1	0.25	260	1	0.25	260	-1	-1	-1
1983	0	AAlb	0.27755	2294.34774	10.48464	80959.57605	0	0	0.00139	13.1253	380	0	11	0.58927	4.87123	22.26038	171.8887	0	0	0.00296	0.02787	806.79406	0	23.35456	1	0.23	350	1	0.23	350	-1	-1	-1
1983	17	FSyl	0.10195	949.37377	2.71368	22821.57375	0	0	0.00469	33.62645	321	0	37	0.21646	2.01566	5.76152	48.45345	0	0	0.00995	0.07139	681.52866	0	78.55626	1	0.25	260	1	0.25	260	-1	-1	-1
1984	0	AAlb	0.28325	2322.90554	10.76929	83295.60689	0	0	0.00139	13.1253	391	0	11	0.60139	4.93186	22.86473	176.84842	0	0	0.00296	0.02787	830.14862	0	23.35456	1	0.23	350	1	0.23	350	-1	-1	-1
1984	17	FSyl	0.10861	977.27835	2.82697	23832.47854	0	0	0.00405	29.08233	358	0	32	0.23059	2.0749	6.00206	50.59974	0	0	0.00861	0.06175	760.08493	0	67.94055	1	0.25	260	1	0.25	260	-1	-1	-1
1985	0	AAlb	0.2536	1921.28615	8.87316	64754.85389	2.15113	20475.16446	0.00101	9.54567	397	5	8	0.53843	4.07916	18.83898	137.48377	4.56715	43.47169	0.00215	0.02027	842.88747	10.61571	16.98514	1	0.23	350	1	0.23	350	1	0.23	350
1985	17	FSyl	0.11342	963.09536	2.94445	24824.65624	0	0	0.00545	39.07939	390	0	43	0.24081	2.04479	6.25148	52.70628	0	0	0.01156	0.08297	828.02548	0	91.29512	1	0.25	260	1	0.25	260	-1	-1	-1
1986	0	AAlb	0.30576	2402.29709	9.17993	67166.69665	0	0	0.00203	19.09135	405	0	16	0.64917	5.10042	19.4903	142.60445	0	0	0.0043	0.04053	859.87261	0	33.97028	1	0.23	350	1	0.23	350	-1	-1	-1
1986	17	FSyl	0.13259	1111.06523	3.08249	25974.80085	0	0	0.00532	38.17056	433	0	42	0.28151	2.35895	6.54456	55.1482	0	0	0.0113	0.08104	919.32059	0	89.17197	1	0.25	260	1	0.25	260	-1	-1	-1
1987	0	AAlb	0.32008	2460.9503	9.50204	69646.7383	0	0	0.00152	14.31851	421	0	12	0.67958	5.22495	20.17418	147.86993	0	0	0.00323	0.0304	893.84289	0	25.47771	1	0.23	350	1	0.23	350	-1	-1	-1
1987	17	FSyl	0.13836	1111.96011	3.22616	27124.93153	0	0	0.00494	35.44409	475	0	39	0.29375	2.36085	6.8496	57.59009	0	0	0.01049	0.07525	1008.49257	0	82.80255	1	0.25	260	1	0.25	260	-1	-1	-1
1988	0	AAlb	0.30368	2319.88131	9.80724	71980.93812	0	0	0.00127	11.93209	433	0	10	0.64475	4.92544	20.82216	152.82577	0	0	0.00269	0.02533	919.32059	0	21.23142	1	0.23	350	1	0.23	350	-1	-1	-1
1988	17	FSyl	0.1346	1030.05001	3.3657	28190.42563	0	0	0.00355	25.44704	514	0	28	0.28577	2.18694	7.14586	59.85228	0	0	0.00753	0.05403	1091.29512	0	59.44798	1	0.25	260	1	0.25	260	-1	-1	-1
1989	0	AAlb	0.32074	2461.6743	10.12924	74454.54451	0	0	0.00127	11.93209	443	0	10	0.68097	5.22648	21.50582	158.07759	0	0	0.00269	0.02533	940.55202	0	21.23142	1	0.23	350	1	0.23	350	-1	-1	-1
1989	17	FSyl	0.13831	994.36565	3.50756	29210.23833	0	0	0.00431	30.89998	542	0	34	0.29366	2.11118	7.44705	62.01749	0	0	0.00914	0.06561	1150.7431	0	72.18684	1	0.25	260	1	0.25	260	-1	-1	-1
